Classify, Tag, Content, Time Spend, Fished Time, Others
1,1,1,0小时0分钟1秒,2019/1/27 1:13,
睡觉,睡觉,睡觉,11小时1分钟36秒,2019/1/27 12:31,今天睡的好久、以致于我缺席了一堂课、昨晚和贾智博还有马嘉成吃串吃到11点233
阅读,成功学,《异类》,0小时13分钟16秒,2019/1/27 15:02,第八章/稻田与数学/个人成长与生长环境甚至国家的潜在关系
阅读,成功学,《异类》,0小时9分钟6秒,2019/1/27 15:12,第九章/玛丽塔之幸/文中提到了KIPP项目（Knowledge is power program）早期教育的机遇
阅读,成功学,《异类》,0小时12分钟32秒,2019-01-27 15:43:15,尾声/故事来自牙买加/核心一句话/他们都是历史和环境的产物;是机遇和积累的结晶
扯犊子,吹牛逼,和温良扯犊子吹牛逼,0小时0分钟2秒,2019-01-27 15:47:20,牛逼吹的很爽
数学,集合的含义及其表示,东方娇子_假期作业1,0小时25分钟16秒,2019-01-27 16:28:24,对于符号掌握不清晰/尤其是真子集与包含于混淆/2道题需要整理
数学,集合的运算,东方娇子_假期作业2,0小时24分钟51秒,2019-01-27 16:58:12,集合的运算掌握的还算可以/有些小瑕疵需要提升/两道小题需要整理
数学,函数的概念,东方娇子_假期作业3,0小时22分钟50秒,2019-01-27 17:23:38,函数的概念掌握一般/三道题需要整理
阅读,逻辑学,《简单的逻辑学》,0小时34分钟36秒,2019-01-27 18:09:21,第二章/逻辑学的基本原理/四种基本原理和四因论以及全称和特称命题/希望自己思考问题更加理性
数学,函数的值域问题,益学教育_值域问题(最值问题)试卷,0小时25分钟16秒,2019-01-27 18:53:11,掌握程度一般/一题需要整理
物理,运动的描述,东方娇子_假期作业1,0小时10分钟48秒,2019-01-27 19:06:06,物理开头学的还是不错的/除了数学上出现了小问题并无大碍
扯犊子,吹牛逼,和王丽微吹牛逼,0小时0分钟2秒,2019-01-28 08:14:51,很开心
数学,函数,益学教育_一对一,0小时0分钟4秒,2019-01-28 11:45:37,上的很开心
数学,必修一_集合_函数,错题整理,1小时2分钟35秒,2019-01-28 22:39:27,我要考清华啊啊啊！！！
编程,flutter,第一个flutterAPP,2小时28分钟26秒,2019-02-08 01:26:46,也许，学历真的很重要，我应该好好考的大学，尽可能好就行，加油吧骏豪！
